算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
9-10-5-1-(1),9,10,5,1,11090.2576,11090.2576,11090.2576,1.81,1.84,1.82,2.0,7380.17,"T0:2次,T1:2次,T3:1次",19.6,44.0,470.6,0.0027,12.4,0.2,516.0,0.0144,26.6,0.0,509.2,0.0021,11.2,0.0,504.2,0.0065,17.2,0.2,900.8,0.4442,34.2,0.2,197.0,0.0942,2.2,0.0,902.2,0.6626,31.0,0.2,1.2364,1.2742,2.8748,11090.2576,11135.4298,11108.3265,1.82,2.5,2.12,2.0,7392.22,"T0:1次,T1:2次,T2:1次,T3:1次",15.6,44.0,672.8,0.0034,67.6,2.2,645.8,0.0144,40.8,1.4,681.4,0.001,74.8,1.6,868.8,0.0349,83.2,1.6,161.4,0.0003,4.0,0.8,969.8,0.1751,96.0,2.8,0.2291,4.6355,1.5715
9-10-5-1-(2),9,10,5,1,9050.1961,9050.1961,9050.1961,2.0,2.05,2.02,2.0,6020.13,"T0:3次,T1:1次,T3:1次",15.8,44.0,465.8,0.0041,15.6,2.0,559.2,0.008,34.4,4.8,473.6,0.002,9.4,0.4,501.4,0.0092,20.0,2.6,953.2,0.392,40.6,4.4,120.0,0.0241,0.2,0.0,926.8,0.5018,38.6,5.4,0.9759,1.1634,4.005,9050.1961,9050.1961,9050.1961,1.52,1.57,1.55,2.0,6020.13,"T0:2次,T1:3次",20.0,44.0,642.6,0.012,34.8,0.0,752.4,0.0097,77.2,0.0,605.0,0.0009,39.4,0.0,885.8,0.0314,68.6,0.0,175.6,0.0003,3.6,0.0,938.6,0.0667,79.2,0.0,0.121,2.7473,1.5989
9-10-5-2-(0),9,10,5,2,10411.0169,10411.0169,10411.0169,2.56,2.59,2.58,2.0,6927.34,"T0:1次,T1:2次,T2:2次",14.0,44.0,469.2,0.0057,9.0,1.8,558.8,0.0294,35.2,5.6,492.6,0.0066,7.0,1.6,479.4,0.0124,13.4,2.6,922.0,0.5384,28.6,4.6,115.6,0.0605,0.4,0.0,962.4,0.5751,35.6,7.0,1.2595,1.284,5.6511,10324.9562,10324.9562,10324.9562,7.71,8.47,8.05,2.0,6869.97,"T1:2次,T2:2次,T3:1次",20.0,44.0,660.6,0.0256,39.6,0.0,708.0,0.0489,43.0,0.0,631.4,0.0071,34.6,0.0,862.0,0.1257,46.4,0.0,141.4,0.0004,2.4,0.0,996.6,0.9736,68.4,0.0,1.1813,23.1952,2.4412
9-10-5-2-(1),9,10,5,2,10800.326,10800.326,10800.326,1.68,1.71,1.7,2.0,7186.88,T0:5次,20.0,44.0,516.0,0.0043,13.8,0.0,420.8,0.0401,12.0,0.0,549.6,0.0096,10.2,0.0,513.6,0.0185,12.2,0.0,912.8,0.4364,22.0,0.0,179.4,0.085,1.4,0.0,907.8,0.398,24.8,0.0,1.0089,1.0884,2.8464,10419.3352,10419.5855,10419.4248,3.43,6.57,4.79,2.0,6932.95,"T0:4次,T2:1次",14.0,44.0,716.8,0.0038,74.6,7.0,614.8,0.0141,53.0,6.0,668.4,0.0011,72.0,5.2,879.2,0.1208,87.2,8.6,174.0,0.0004,5.2,1.6,946.8,0.3614,107.2,8.0,0.5015,12.7552,1.8167
9-10-5-2-(2),9,10,5,2,8995.7665,8995.7665,8995.7665,2.42,2.58,2.5,2.0,5983.84,"T0:3次,T1:1次,T2:1次",16.0,44.0,469.4,0.0042,18.4,2.4,542.6,0.0434,39.4,4.2,478.0,0.0065,13.0,1.6,510.0,0.0163,12.0,2.4,946.8,0.5758,41.4,5.6,100.0,0.0553,0.0,0.0,953.2,0.6603,41.4,5.0,1.3904,1.2523,5.2993,8995.7665,8995.7665,8995.7665,1.81,2.82,2.32,2.0,5983.84,"T0:2次,T2:2次,T3:1次",16.0,44.0,670.0,0.0033,53.6,3.2,708.0,0.0151,73.0,3.0,622.0,0.001,61.8,2.4,897.6,0.0458,83.8,3.6,165.2,0.0059,5.2,1.0,937.2,0.2422,99.4,4.0,0.3133,4.6461,1.8675
9-10-5-3-(0),9,10,5,3,9844.2764,9932.8019,9897.3917,2.64,2.74,2.67,2.0,6584.93,"T0:2次,T1:1次,T2:1次,T3:1次",15.2,44.0,483.6,0.0073,23.0,2.6,529.2,0.0096,30.2,6.0,465.8,0.023,12.6,0.2,521.4,0.0126,29.8,6.8,937.2,0.4856,50.4,7.2,123.6,0.0693,0.4,0.0,939.2,0.5221,44.8,8.4,1.1579,1.1607,6.2241,9832.3143,9835.1279,9834.5651,2.19,3.4,2.83,2.0,6543.04,"T0:2次,T1:1次,T2:2次",17.4,44.0,648.6,0.0124,19.8,0.8,685.6,0.0235,16.8,0.8,665.8,0.0025,19.6,1.4,879.2,0.0661,26.2,0.8,160.6,0.0003,1.6,0.0,960.2,0.3078,28.4,2.2,0.4127,6.0328,1.7295
9-10-5-3-(1),9,10,5,3,11690.9139,11975.7269,11747.8765,2.66,2.69,2.67,2.0,7818.58,"T0:2次,T1:2次,T3:1次",16.2,44.0,502.6,0.0029,35.8,3.0,491.0,0.0167,39.6,3.0,504.6,0.0021,21.8,1.6,501.8,0.0034,32.0,2.6,932.4,0.5062,66.0,6.2,160.6,0.0534,1.2,0.0,907.0,0.4598,62.0,4.0,1.0744,1.2214,6.2458,11690.9139,11690.9139,11690.9139,1.69,1.98,1.82,2.0,7780.61,"T0:2次,T1:1次,T2:1次,T3:1次",16.4,44.0,654.6,0.0075,62.4,1.4,653.6,0.0136,48.4,2.0,691.8,0.001,77.8,1.8,855.0,0.0154,86.4,2.4,248.8,0.0064,9.6,0.8,896.2,0.1634,92.6,2.0,0.2073,3.4912,1.5361
9-10-5-3-(2),9,10,5,3,10663.2073,10663.2073,10663.2073,1.67,1.7,1.68,2.0,7095.47,"T0:3次,T1:2次",16.0,44.0,492.8,0.0057,21.0,0.6,559.0,0.0357,72.4,2.4,473.4,0.002,13.2,0.2,474.8,0.0261,16.6,0.8,942.2,0.4732,58.0,1.8,117.8,0.0301,0.8,0.0,940.0,0.3532,64.4,2.2,0.9572,1.0772,2.9811,10663.2073,10663.2073,10663.2073,1.7,1.77,1.74,2.0,7095.47,"T0:4次,T1:1次",16.0,44.0,637.4,0.0062,44.2,0.8,723.6,0.0159,81.6,2.2,639.0,0.0025,56.8,1.0,872.4,0.0289,83.6,1.8,230.4,0.0004,9.6,1.0,897.2,0.084,89.4,1.2,0.1378,3.4857,1.6605
9-10-5-4-(0),9,10,5,4,9738.719,9738.719,9738.719,1.89,1.97,1.92,2.0,6479.15,"T1:1次,T2:3次,T3:1次",15.8,44.0,506.6,0.0028,6.4,1.6,471.2,0.0264,15.8,0.6,504.0,0.0111,3.2,0.4,518.2,0.0033,9.4,3.2,941.0,0.394,17.8,3.8,118.8,0.0283,0.4,0.0,940.2,0.4291,16.6,2.0,0.9031,1.0234,3.8304,9634.8191,9634.886,9634.8711,1.55,1.77,1.63,2.0,6409.91,"T0:3次,T1:1次,T2:1次",16.0,44.0,683.6,0.0018,14.6,2.6,654.6,0.0431,14.8,2.2,661.8,0.0025,13.6,2.6,886.0,0.0525,19.8,3.6,184.8,0.0003,2.8,0.6,929.2,0.0963,20.4,3.2,0.1964,2.899,1.5174
9-10-5-4-(1),9,10,5,4,9730.0377,9730.0377,9730.0377,1.66,1.72,1.68,2.0,6473.36,"T0:3次,T1:2次",20.0,44.0,501.8,0.0027,7.8,0.0,516.2,0.0092,18.2,0.0,500.8,0.0058,3.8,0.0,481.2,0.0075,8.2,0.0,925.0,0.4482,17.8,0.0,124.8,0.0468,0.2,0.0,950.2,0.4943,20.0,0.0,1.0738,1.1464,2.7033,9730.0377,9730.0377,9730.0377,1.42,1.51,1.47,2.0,6473.36,"T0:2次,T1:3次",20.0,44.0,663.0,0.0191,22.2,0.0,680.6,0.0142,9.0,0.0,656.4,0.0009,19.6,0.0,895.2,0.0576,21.6,0.0,159.4,0.0003,2.0,0.0,945.4,0.1307,27.2,0.0,0.2229,2.5363,1.5203
