算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
26-40-10-2-(radial-0),26,40,10,2,60746.3058,60746.3058,60746.3058,7.91,10.93,9.84,2.0,40484.2,T0:3次,3.0,13.0,117.33,0.0167,25.33,2.67,178.0,0.0125,69.67,10.0,114.0,0.0034,15.33,3.0,145.67,0.0025,34.33,6.33,231.67,2.3872,62.67,8.0,50.67,0.4109,0.0,0.0,272.67,2.9428,82.0,14.0,5.7849,8.0999,7.5249,60746.4505,60915.0345,60858.7979,122.71,152.01,134.22,2.0,40559.2,"T0:1次,T2:2次",4.67,19.33,293.0,0.0049,73.33,5.0,324.0,0.0293,93.0,9.33,281.33,0.0008,68.0,6.0,369.33,0.2259,93.0,9.33,79.33,0.0004,1.33,0.33,449.67,2.6386,140.0,10.67,2.8999,309.6954,8.6368
26-40-10-2-(radial-1),26,40,10,2,59468.5791,59468.5791,59468.5791,7.39,13.16,10.11,2.0,39632.39,T0:3次,3.0,14.0,127.67,0.0043,28.33,3.0,170.33,0.0097,66.33,9.0,131.67,0.001,21.0,3.0,157.33,0.0026,36.33,6.67,289.33,2.5178,87.33,14.0,58.33,0.5223,0.0,0.0,239.33,2.3865,64.67,7.67,5.4559,8.4709,7.9156,59498.9452,59594.9235,59548.1318,457.83,1247.08,944.93,2.0,39685.42,"T0:1次,T1:1次,T2:1次",5.0,19.67,296.67,0.0029,74.67,7.0,337.67,0.0292,102.67,9.33,243.0,0.0008,44.0,7.67,308.67,0.3023,62.0,6.33,85.0,0.0007,3.33,1.67,483.67,5.4139,156.0,16.0,5.7499,1801.4226,8.4993
26-40-10-2-(random-0),26,40,10,2,113178.1547,114734.5357,114082.0887,7.88,13.32,10.69,3.0,76034.73,"T1:1次,T2:2次",2.67,14.0,137.0,0.0018,30.0,3.0,195.0,0.0103,76.0,11.0,146.67,0.0011,21.0,2.67,134.33,0.0023,29.33,2.33,266.0,1.5244,75.0,7.67,56.67,0.374,0.67,0.0,290.33,1.6714,80.67,11.33,3.5945,8.8976,7.5235,113587.0942,113659.3923,113611.2102,257.55,968.36,594.95,3.0,75720.81,"T0:2次,T2:1次",6.67,17.0,298.0,0.0075,54.33,0.67,192.0,0.0181,22.33,0.0,210.0,0.0009,18.33,0.0,291.0,0.343,38.33,0.0,77.0,0.0006,2.0,0.0,332.0,5.1376,54.67,0.67,5.5077,1227.8168,5.0647
26-40-10-2-(random-1),26,40,10,2,114695.4364,118596.1527,116343.9076,7.86,10.85,9.65,3.0,77542.61,"T0:1次,T2:2次",3.0,11.33,103.67,0.0017,21.33,3.67,147.33,0.0045,52.0,10.0,114.33,0.001,19.67,3.67,109.0,0.0022,30.33,3.33,200.67,1.558,61.33,9.0,64.0,0.3766,1.0,0.33,209.67,1.6745,61.0,11.33,3.6241,8.5782,7.5055,114391.9417,116359.0815,115334.4846,292.33,421.54,337.93,3.0,76869.66,"T0:2次,T1:1次",4.33,22.33,406.67,0.0079,76.33,7.0,289.67,0.0243,42.0,3.33,294.33,0.0053,38.67,4.0,391.33,0.3163,51.33,6.67,105.67,0.0007,3.67,1.0,493.67,4.2032,102.0,6.67,4.5577,806.6046,6.505
26-40-10-3-(grid-0),26,40,10,3,40873.961,40873.961,40873.961,8.07,9.78,8.83,1.0,27242.64,"T0:2次,T2:1次",3.0,11.0,100.67,0.0058,13.0,0.0,122.33,0.0078,26.67,1.67,118.67,0.0014,14.67,3.0,110.33,0.0145,11.0,0.0,190.0,3.288,31.0,2.0,65.33,0.9511,0.33,0.0,196.67,3.4772,34.0,2.67,7.7495,5.8672,5.2089,40873.961,40873.961,40873.961,435.83,444.21,440.63,1.0,27242.64,"T0:1次,T1:1次,T2:1次",3.0,9.67,138.67,0.0018,28.67,1.67,143.33,0.0125,36.33,1.67,106.0,0.0005,15.33,1.33,131.0,0.1894,29.67,1.0,61.33,0.0006,0.33,0.0,195.67,3.9272,50.33,3.67,4.132,822.9857,5.2982
26-40-10-3-(grid-1),26,40,10,3,64506.6129,64506.6129,64506.6129,8.73,11.27,10.16,2.0,42991.08,"T1:1次,T2:2次",3.0,12.67,130.0,0.0093,20.67,4.67,182.67,0.0175,58.0,15.0,120.33,0.0085,17.0,4.67,142.67,0.005,28.33,8.0,276.0,2.8242,67.0,19.33,59.67,0.505,0.0,0.0,240.0,2.5664,57.0,13.0,5.95,8.9189,8.3306,64506.6129,64506.6129,64506.6129,87.56,186.19,121.14,2.0,42991.08,"T0:1次,T1:2次",4.67,16.33,228.67,0.0093,57.67,5.0,253.67,0.0116,72.0,8.0,233.33,0.0031,51.0,6.33,314.67,0.242,80.0,9.0,75.33,0.0004,1.33,0.33,325.67,1.8348,99.33,10.0,2.1013,293.287,6.5279
26-40-10-3-(linear-0),26,40,10,3,61929.2003,61929.2003,61929.2003,8.15,10.2,8.97,2.0,41272.8,"T0:2次,T2:1次",3.0,12.33,93.0,0.0112,17.0,2.33,190.33,0.0051,77.33,14.67,103.0,0.0008,13.33,2.67,140.0,0.0022,31.33,5.67,254.33,2.5302,76.67,14.67,53.67,0.4275,0.0,0.0,218.33,2.2335,62.33,10.67,5.2317,7.4536,6.6454,61929.2003,61929.2003,61929.2003,75.42,96.04,82.72,2.0,41272.8,"T0:1次,T1:2次",4.0,14.33,189.0,0.0065,31.33,5.33,255.0,0.0165,76.33,10.67,167.67,0.0005,28.67,5.0,229.67,0.1283,47.0,8.67,80.33,0.0029,2.0,1.33,301.67,1.5581,87.33,11.0,1.7127,178.7135,5.0188
26-40-10-3-(linear-1),26,40,10,3,70809.5139,70809.5139,70809.5139,9.15,11.12,9.9,2.0,47193.01,"T0:1次,T1:1次,T2:1次",3.0,13.67,149.33,0.002,27.0,6.67,208.67,0.0081,76.67,15.0,130.67,0.0085,13.67,3.67,113.33,0.002,20.67,0.67,270.67,2.6559,69.67,13.0,59.33,0.5202,0.67,0.0,272.0,2.7166,67.67,13.0,5.93,8.5357,7.6889,70591.6425,70594.6791,70592.6547,547.39,806.16,713.59,2.0,47048.44,"T0:1次,T1:1次,T2:1次",3.67,18.33,298.33,0.0028,72.0,7.67,281.33,0.057,69.67,8.67,219.33,0.0008,33.0,5.67,314.0,0.3831,59.67,8.33,76.67,0.0006,0.67,0.33,408.33,5.6595,114.33,13.33,6.1037,1750.1847,7.9337
26-40-10-3-(radial-0),26,40,10,3,58927.5874,58927.5874,58927.5874,11.56,12.49,12.06,2.0,39271.72,"T0:1次,T1:1次,T2:1次",3.0,16.0,177.0,0.01,35.0,7.67,216.0,0.0233,82.67,10.33,143.33,0.0062,23.0,4.0,183.67,0.0032,38.67,7.0,307.67,3.229,81.67,9.33,61.67,0.5243,0.0,0.0,350.67,3.7638,97.67,19.67,7.5773,10.6249,9.8498,58856.295,59020.2703,58934.7175,174.28,249.42,223.92,2.0,39276.48,"T1:1次,T2:2次",3.67,13.33,229.33,0.006,64.67,8.67,185.67,0.0079,56.33,5.0,159.67,0.0005,32.33,3.67,215.33,0.2531,56.0,5.0,69.0,0.0004,1.33,1.0,290.33,2.6306,96.0,11.33,2.8985,535.0977,6.0774
26-40-10-3-(radial-1),26,40,10,3,55732.3313,55732.3313,55732.3313,7.36,8.87,7.95,2.0,37141.55,"T0:2次,T1:1次",3.0,10.67,99.0,0.0013,17.0,3.33,143.33,0.0063,50.67,8.67,101.0,0.0008,15.33,3.33,102.33,0.0091,21.0,3.67,196.67,1.9702,52.67,9.33,54.67,0.4225,0.0,0.0,194.33,2.0424,51.33,9.67,4.458,6.3545,5.9099,55732.3313,55732.3313,55732.3313,104.38,282.45,192.31,2.0,37141.55,"T0:2次,T1:1次",3.67,15.0,225.0,0.0018,57.67,5.67,234.33,0.0143,65.0,7.67,207.67,0.0031,48.0,5.67,267.33,0.1847,62.0,8.33,62.67,0.0054,1.33,0.33,337.0,2.4698,107.33,10.33,2.6791,444.1438,6.1098
