算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
38-63-2-2-(SZ_Longhua),38,63,2,2,34495.2534,34612.662,34545.6247,26.42,40.03,33.98,1.0,23023.75,"T1:2次,T2:1次",3.0,13.67,137.0,0.0027,30.33,3.33,213.33,0.025,117.33,16.0,120.67,0.001,28.33,2.0,135.0,0.016,37.33,3.33,259.33,16.7734,98.33,9.33,56.33,3.388,0.0,0.0,290.33,19.0242,115.0,15.33,39.2379,29.2969,16.0962,34495.2534,34495.2534,34495.2534,15.53,41.91,26.72,1.0,22990.17,"T1:2次,T2:1次",5.0,17.0,243.0,0.0006,72.67,4.67,261.0,0.0012,99.67,6.67,239.33,0.0002,67.33,5.0,327.0,0.0104,96.67,9.0,59.33,0.0001,1.33,0.0,357.0,0.1693,141.67,7.33,0.1819,53.7863,0.4104
38-63-2-3-(SZ_Longhua),38,63,2,3,34436.3623,34444.0314,34441.475,36.0,36.79,36.32,1.0,22954.32,"T0:1次,T1:1次,T2:1次",3.0,14.33,146.67,0.0175,45.33,4.0,207.67,0.0248,110.33,13.0,134.0,0.0011,34.0,4.67,160.67,0.0041,41.0,4.67,309.0,18.7942,124.33,18.33,55.67,3.0481,0.0,0.0,284.33,17.9195,106.33,8.0,39.8132,29.999,16.9328,34436.3623,34437.5131,34436.7459,315.57,400.24,356.91,1.0,22951.16,"T1:1次,T2:2次",4.67,21.0,332.33,0.0012,108.33,6.0,386.33,0.0024,141.33,14.33,234.0,0.0003,44.0,2.0,377.0,0.0222,92.67,8.0,72.67,0.0002,1.33,0.0,503.0,0.5855,199.67,14.33,0.6118,648.4536,0.7401
38-63-2-4-(SZ_Longhua),38,63,2,4,33836.506,33894.822,33857.2814,32.98,40.37,35.55,1.0,22564.85,"T0:1次,T2:2次",3.0,14.67,136.67,0.0196,33.67,2.0,235.67,0.012,129.33,14.0,125.67,0.0011,26.0,2.0,132.67,0.0058,33.33,3.0,292.33,15.8613,115.33,11.33,62.67,3.5891,0.0,0.0,275.67,15.3975,107.0,9.67,34.9045,25.0774,14.0091,33836.506,33840.5163,33837.8428,37.76,77.97,62.72,1.0,22551.9,"T0:2次,T2:1次",5.0,17.0,269.0,0.0008,84.33,6.0,270.33,0.0015,98.33,4.0,212.33,0.0003,44.33,3.33,297.0,0.0116,77.67,4.33,63.67,0.0001,1.33,0.33,391.0,0.2504,148.0,8.67,0.2647,116.3116,0.4574
38-63-2-5-(SZ_Longhua),38,63,2,5,32739.026,32739.026,32739.026,29.75,39.29,35.42,1.0,21819.35,"T1:1次,T2:2次",3.0,14.33,146.0,0.0074,40.33,6.0,217.0,0.0318,114.33,16.67,106.0,0.0009,23.67,2.67,159.0,0.0169,47.33,7.67,273.0,16.654,101.67,13.0,49.67,2.9298,0.0,0.0,305.33,18.243,124.0,20.0,37.9022,27.8589,15.5782,32739.026,32852.6512,32788.1361,55.23,68.23,62.88,1.0,21852.09,"T0:1次,T1:1次,T2:1次",4.0,19.67,275.33,0.0008,74.33,5.67,338.0,0.0017,127.33,11.67,239.0,0.0002,50.67,6.67,347.33,0.0135,87.0,10.67,67.33,0.0001,1.0,0.33,437.67,0.2991,164.33,13.0,0.3155,128.4012,0.5321
39-57-2-1-(GZ_Liwan),39,57,2,1,53244.8035,53537.9852,53382.7242,21.89,23.88,22.75,2.0,35575.15,"T0:2次,T1:1次",3.0,12.67,136.67,0.0104,41.67,2.67,161.67,0.0252,76.67,8.0,153.67,0.0011,54.0,8.33,135.33,0.011,41.0,4.67,265.67,6.6895,103.33,11.67,53.33,1.359,0.0,0.0,268.33,6.8893,110.0,12.0,15.0072,21.4436,13.0601,52995.7842,53284.6657,53100.5689,23.6,48.2,32.62,2.0,35387.05,"T0:2次,T1:1次",4.0,20.0,345.0,0.0008,106.67,8.33,250.67,0.0012,65.33,5.33,289.33,0.0002,84.33,4.67,345.33,0.01,77.33,7.0,71.33,0.0001,2.33,1.0,468.33,0.204,176.67,10.33,0.2163,66.161,0.4082
39-57-2-2-(GZ_Liwan),39,57,2,2,54154.8502,54599.9545,54433.3922,23.84,28.73,27.07,2.0,36275.59,"T1:1次,T2:2次",3.0,16.0,156.0,0.0071,50.0,5.0,236.67,0.0129,122.33,15.67,176.0,0.0012,57.33,10.67,147.33,0.0077,48.0,7.0,329.0,8.137,141.33,18.0,52.67,1.3411,0.0,0.0,334.33,8.666,136.33,20.33,18.1986,25.4899,15.8883,54154.8502,54377.0551,54234.4228,88.63,244.12,180.71,2.0,36142.95,T0:3次,5.0,20.67,326.0,0.001,106.0,8.67,279.33,0.0016,71.67,9.0,305.67,0.0003,98.33,7.67,314.67,0.0146,73.33,9.0,104.0,0.0002,4.67,2.0,492.33,0.4019,198.0,14.33,0.4196,321.5933,0.5266
39-57-2-3-(GZ_Liwan),39,57,2,3,44178.707,45662.2703,45166.8479,23.4,36.73,28.74,1.67,30100.12,"T1:2次,T2:1次",3.0,16.67,174.33,0.007,63.0,5.33,228.33,0.0214,107.67,15.0,190.67,0.0137,64.0,6.33,178.67,0.0056,61.0,6.0,362.0,8.913,146.0,16.33,50.0,1.2101,0.0,0.0,360.0,8.9531,149.67,16.33,19.1439,28.1306,17.5116,43823.3048,44140.8713,44033.7989,24.91,38.16,29.63,1.0,29349.2,"T0:1次,T2:2次",5.0,23.0,387.33,0.0009,107.33,5.67,295.33,0.0013,61.33,5.0,359.0,0.0003,85.67,11.0,394.33,0.0104,79.67,8.33,87.0,0.0001,3.33,1.33,560.33,0.205,171.33,12.0,0.218,66.7607,0.4697
39-57-2-4-(GZ_Liwan),39,57,2,4,45093.9035,45581.5492,45347.9517,24.03,25.35,24.83,2.0,30218.63,T0:3次,3.0,14.0,146.0,0.003,48.33,7.0,182.67,0.0276,82.0,15.67,151.0,0.0012,49.67,10.0,149.0,0.0124,55.67,7.67,270.67,6.459,113.33,17.0,52.67,1.3536,0.0,0.0,305.33,7.7877,122.33,23.33,15.6522,22.4113,14.0141,43611.5609,43656.8698,43626.6638,20.53,73.85,45.58,1.0,29077.78,"T1:1次,T2:2次",5.67,19.33,291.0,0.0008,86.33,8.33,258.0,0.0012,65.33,7.33,276.0,0.0002,74.67,6.67,314.33,0.0099,69.67,7.67,58.33,0.0001,1.0,0.67,452.33,0.2189,155.67,14.0,0.2311,85.7386,0.414
39-57-2-5-(GZ_Liwan),39,57,2,5,43133.0613,43242.14,43170.498,25.44,29.56,26.96,2.0,28767.0,"T0:1次,T1:2次",3.0,16.0,159.33,0.0029,59.0,8.0,230.67,0.0248,104.33,18.67,161.33,0.0011,44.67,10.67,159.33,0.0079,50.33,5.67,330.33,8.9173,124.33,22.67,52.67,1.2622,0.0,0.0,327.67,9.1513,134.0,20.33,19.3921,26.0422,15.9112,42723.4401,42924.3023,42837.1505,17.84,32.73,23.64,1.0,28551.43,"T0:2次,T1:1次",4.0,16.67,280.67,0.0007,89.0,9.0,199.0,0.0009,40.33,4.33,245.33,0.0002,79.0,8.33,273.33,0.0072,71.33,9.67,93.0,0.0001,3.33,2.0,358.67,0.1319,133.67,10.0,0.1411,50.7519,0.3235
40-68-2-1-(CD_Longquanyi),40,68,2,1,33628.6854,33793.9392,33729.329,46.57,51.32,49.65,1.0,22479.55,"T1:1次,T2:2次",3.0,15.67,156.67,0.0104,39.67,3.0,241.67,0.0363,121.0,18.67,151.67,0.0096,35.67,6.33,153.33,0.0202,38.0,3.33,320.33,26.2932,114.33,14.67,56.67,4.4148,0.0,0.0,326.33,27.5159,120.0,16.67,58.3264,43.1653,22.7192,33628.6854,33860.7771,33706.0493,59.18,126.98,93.62,1.0,22464.03,"T0:1次,T2:2次",4.33,15.0,206.0,0.0006,54.0,3.0,217.33,0.0013,65.0,4.0,220.0,0.0002,59.67,3.33,240.0,0.0104,50.0,3.67,63.67,0.0001,1.0,0.33,339.67,0.2627,127.67,6.33,0.2753,155.2083,0.4388
