算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
21-20-5-1-(2),21,20,5,1,22483.5926,24765.192,22939.9125,5.48,5.66,5.54,1.2,15285.27,"T0:1次,T2:1次,T3:3次",13.0,44.0,500.2,0.0063,57.0,8.2,573.6,0.0329,104.8,13.8,444.8,0.0051,28.6,4.8,481.4,0.0178,55.0,8.4,987.2,2.27,131.6,19.4,93.6,0.1649,0.0,0.0,919.2,2.2959,113.8,15.8,4.8154,4.6105,9.0264,22483.5926,22483.5926,22483.5926,12.44,23.31,16.53,1.0,14982.4,"T0:1次,T2:2次,T3:2次",14.4,44.0,701.0,0.009,51.0,4.4,661.4,0.0468,49.0,7.8,637.6,0.0012,43.4,4.8,835.2,0.1623,60.2,7.0,146.8,0.0064,2.2,0.8,1018.0,1.3052,81.0,9.2,1.5309,48.4055,5.4426
21-20-5-2-(0),21,20,5,2,16569.7119,16569.7119,16569.7119,5.18,5.25,5.22,1.0,11039.81,"T0:3次,T1:2次",15.6,44.0,489.4,0.0095,52.6,3.2,520.2,0.0493,100.2,5.0,487.0,0.0023,59.2,5.0,503.4,0.0187,61.8,3.8,960.4,3.3939,143.8,8.6,102.8,0.324,0.0,0.0,936.8,3.4345,130.0,8.4,7.252,3.94,6.4433,16569.7119,16580.9212,16574.1748,96.17,168.78,132.56,1.0,11042.78,"T1:2次,T3:3次",13.0,44.0,662.0,0.0106,96.0,5.0,747.0,0.0987,161.0,8.0,591.0,0.003,57.8,8.8,876.0,0.5528,135.0,11.2,104.6,0.005,0.2,0.0,1019.4,5.8337,179.6,10.6,6.5039,447.4127,8.5936
21-20-5-2-(1),21,20,5,2,31434.9886,31892.4919,31526.4893,5.57,5.68,5.62,2.0,21004.33,"T1:2次,T2:1次,T3:2次",13.0,44.0,492.6,0.032,92.8,7.8,539.2,0.0241,130.0,10.8,457.4,0.0022,53.4,3.8,510.8,0.0092,95.4,10.4,947.0,2.0181,186.6,15.4,91.6,0.1667,0.0,0.0,961.4,2.1765,185.0,17.4,4.4881,4.6325,9.5966,31441.803,31772.8563,31511.6663,18.53,34.05,25.96,2.0,20994.44,"T0:1次,T1:2次,T3:2次",13.0,44.0,727.4,0.0064,102.4,7.0,654.2,0.0451,81.2,8.4,618.4,0.0058,77.0,6.6,863.0,0.2526,110.4,10.6,146.6,0.0005,3.8,1.6,990.4,1.4269,146.4,9.8,1.7373,81.9123,4.7429
21-20-5-2-(2),21,20,5,2,25105.8017,25105.8017,25105.8017,5.82,5.88,5.86,2.0,16723.87,"T0:1次,T1:1次,T2:2次,T3:1次",14.8,44.0,485.2,0.0105,59.4,6.2,580.4,0.0295,128.6,9.2,435.2,0.0021,29.2,2.8,499.2,0.0268,62.0,7.4,959.0,2.286,138.8,14.8,94.2,0.191,0.6,0.0,946.8,2.2499,139.8,10.8,4.8177,4.6677,10.111,25066.4575,25105.8017,25077.9439,17.78,26.66,21.57,2.0,16705.3,"T2:3次,T3:2次",17.2,44.0,776.2,0.0215,81.8,1.4,578.0,0.0277,53.4,0.8,645.8,0.0088,60.2,1.0,892.2,0.1562,86.8,1.8,121.2,0.0004,0.8,0.0,986.6,1.4749,107.8,1.4,1.6895,65.0118,5.4174
21-20-5-3-(0),21,20,5,3,16854.7342,16854.7342,16854.7342,5.29,5.35,5.32,1.0,11229.82,"T0:2次,T1:2次,T3:1次",16.0,44.0,496.6,0.0097,40.4,1.6,589.0,0.0221,92.8,1.8,415.4,0.0096,24.2,0.2,499.0,0.0213,46.0,0.6,948.4,3.3796,97.6,2.4,115.6,0.2633,1.6,0.0,936.0,3.257,104.2,1.8,6.9991,4.0277,6.7751,16854.7342,16854.7342,16854.7342,10.94,30.47,15.58,1.0,11229.82,"T1:3次,T2:1次,T3:1次",17.6,44.0,674.0,0.0073,48.0,0.6,649.0,0.0566,49.0,0.6,677.0,0.0058,44.0,1.4,912.2,0.2026,68.4,1.0,124.0,0.0004,1.2,0.0,963.8,1.2549,71.4,1.6,1.5275,45.5153,5.8845
21-20-5-3-(1),21,20,5,3,31330.4947,31330.4947,31330.4947,5.88,6.14,6.0,2.0,20873.66,"T0:2次,T1:1次,T2:2次",14.8,44.0,521.6,0.0144,91.0,9.0,504.0,0.0338,91.2,9.6,459.0,0.0097,41.4,3.2,515.4,0.0125,79.6,8.6,953.8,2.3059,153.4,15.0,90.8,0.245,0.0,0.0,955.4,2.4973,149.8,15.4,5.1528,4.8631,10.0046,31034.7568,31278.9587,31135.7139,52.8,113.0,75.75,2.0,20743.81,"T0:1次,T2:2次,T3:2次",12.4,44.0,716.2,0.0252,133.4,10.6,623.0,0.0369,86.4,7.8,660.8,0.003,113.8,11.6,834.4,0.3401,130.6,11.2,114.4,0.0005,1.8,0.4,1051.2,2.963,201.2,18.4,3.3687,230.0236,5.5279
21-20-5-3-(2),21,20,5,3,24952.9427,26073.5776,25401.1967,5.77,5.91,5.82,2.0,16920.8,"T0:1次,T1:1次,T2:2次,T3:1次",12.6,44.0,492.8,0.0247,63.4,7.2,551.2,0.0366,107.4,11.8,462.0,0.0052,37.6,5.0,494.0,0.0084,62.4,9.8,970.0,2.2327,140.6,17.0,91.8,0.2181,0.4,0.2,938.2,2.206,129.8,16.6,4.778,4.6846,9.9092,24926.4137,24952.9427,24933.9621,12.67,17.6,14.18,2.0,16609.31,"T0:1次,T1:1次,T2:1次,T3:2次",15.2,44.0,721.4,0.0076,93.2,3.6,607.4,0.0184,51.8,7.4,671.2,0.0028,79.0,5.2,899.4,0.2179,103.6,6.6,123.0,0.0004,1.6,0.6,977.6,1.2554,118.8,9.0,1.5024,41.7972,5.7893
21-20-5-4-(0),21,20,5,4,17882.4356,17882.4356,17882.4356,5.22,5.32,5.26,1.0,11914.96,"T0:2次,T2:2次,T3:1次",16.0,44.0,493.8,0.0127,43.0,1.6,572.0,0.0383,98.4,2.8,442.0,0.023,34.8,1.0,492.2,0.0074,44.6,1.6,955.2,3.277,115.6,3.4,100.4,0.3982,0.4,0.0,944.4,3.3654,104.8,3.6,7.1628,4.0401,6.6607,17882.4356,17882.4356,17882.4356,135.54,180.24,160.13,1.0,11914.96,"T0:2次,T1:1次,T2:2次",16.0,44.0,670.4,0.0108,100.6,3.2,796.6,0.0817,202.0,2.6,533.0,0.0059,65.8,1.6,855.8,0.6016,142.0,3.0,106.6,0.0005,1.0,0.2,1037.6,6.4107,225.4,4.2,7.1112,547.1728,8.8941
21-20-5-4-(1),21,20,5,4,29763.0121,30298.2978,30135.152,6.16,6.3,6.21,2.0,20076.77,"T0:1次,T1:1次,T2:3次",13.8,44.0,487.4,0.0193,94.4,8.8,544.8,0.0361,132.6,10.0,455.8,0.0052,59.4,4.2,512.0,0.0121,99.6,9.8,948.0,2.1434,191.4,17.2,98.0,0.1675,0.0,0.0,954.0,2.1504,194.6,15.6,4.5807,4.8652,11.3322,29760.1201,30026.6856,29862.4572,106.59,130.68,120.47,2.0,19894.97,"T0:1次,T2:2次,T3:2次",11.6,39.8,676.4,0.0252,122.6,9.8,580.2,0.0702,78.6,8.0,573.4,0.0074,88.2,8.4,772.0,0.4047,112.0,11.4,115.0,0.0006,2.2,0.8,943.0,3.5883,175.2,14.0,4.0963,395.2102,5.9461
21-20-5-4-(2),21,20,5,4,23797.1469,23797.1469,23797.1469,5.86,6.02,5.91,2.0,15851.43,"T0:1次,T1:2次,T3:2次",14.6,44.0,468.6,0.0156,45.4,4.6,582.0,0.0323,98.6,10.0,464.6,0.0173,28.0,2.2,484.8,0.0383,44.8,5.6,947.6,2.0948,105.8,11.2,96.8,0.1781,0.2,0.0,955.6,2.4811,110.8,11.2,4.8828,4.9089,10.0651,23797.1469,23797.1469,23797.1469,11.19,13.15,11.85,2.0,15851.43,"T0:3次,T2:2次",20.0,44.0,733.2,0.013,49.0,0.0,605.2,0.0224,33.4,0.0,661.6,0.0012,40.6,0.0,894.2,0.1525,57.8,0.0,145.8,0.0004,2.0,0.0,960.0,0.8722,63.2,0.0,1.0618,34.559,5.047
